count;name;price;url
0;Ноутбук Apple Macbook Pro 13 2022 M2 16/512;137 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_apple_macbook_pro_13_2022_m2_16_512/
1;"Ноутбук ASUS ROG Zephyrus G15; Ryzen 9 5900HS, GeForce RTX3080, 16 Гб, 1 Tb, Нет";113 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_rog_zephyrus_g15_ryzen_9_5900hs_geforce_rtx3080_16_gb_1_tb_net_1/
2;Ноутбук Apple Macbook Air M2 2022 8/256;104 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_apple_macbook_air_m2_2022_8_256/
3;"Ноутбук Acer; Ryzen 9 6900HX, GeForce RTX 3070 Ti, 32 Гб, 1 Tb, Нет";104 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_acer_ryzen_9_6900hx_geforce_rtx_3070_ti_32_gb_1_tb_net_2/
4;"Ноутбук MSI; Ryzen 7 7735HS, Geforce RTX 4060, 16 Гб, 1 Tb, Нет";98 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_msi_ryzen_7_7735hs_geforce_rtx_4060_16_gb_1_tb_net/
5;"Ноутбук MSI; Ryzen 5 7535H, Geforce RTX 4060, 16 Гб, 512 GB, Нет";98 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_msi_ryzen_5_7535h_geforce_rtx_4060_16_gb_512_gb_net/
6;Ноутбук Apple Macbook Air M2 2022 8/256;95 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_apple_macbook_air_m2_2022_8_256_1/
7;"Ноутбук ASUS; Ryzen 7 6800H, GeForce RTX 3070, 16 Гб, 1 Tb, Нет";95 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_ryzen_7_6800h_geforce_rtx_3070_16_gb_1_tb_net/
8;"Ноутбук MSI Delta 15 A5EFK-057RU; Ryzen 7 5800H, Radeon RX 5700, 16 Гб, 1 Tb, Нет";89 999;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_msi_delta_15_a5efk_057ru_ryzen_7_5800h_radeon_rx_5700_16_gb_1_tb_net_1/
9;"Ноутбук Gigabite; I5-12500H, Geforce RTX 4060, 16 Гб, 512 GB, Нет";89 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_gigabite_i5_12500h_geforce_rtx_4060_16_gb_512_gb_net/
10;"Ноутбук ARDOR Gaming NEO G15-I7ND208; Core I7-12700H, GeForce RTX 3070, 16 Гб, 1 Tb, Нет";87 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_ardor_gaming_neo_g15_i7nd208_core_i7_12700h_geforce_rtx_3070_16_gb_1_tb_net/
11;"Ноутбук ASUS ASUS TUF Dash FX5172M-AS73; Intel Core i7-12650H, GeForce RTX 3060, 16 Гб, 512 GB, Нет";84 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_asus_asus_tuf_dash_fx5172m_as73_intel_core_i7_12650h_geforce_rtx_3060_16_gb_512_gb_net/
12;"Ноутбук ARDOR Gaming; Core I5-12450H, Geforce RTX 4060, 16 Гб, 512 GB, Нет";83 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_ardor_gaming_core_i5_12450h_geforce_rtx_4060_16_gb_512_gb_net/
13;"Ноутбук MSI; Core i7-11800H, GeForce RTX 3060, 16 Гб, 1 Tb, Нет";80 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_msi_core_i7_11800h_geforce_rtx_3060_16_gb_1_tb_net/
14;"Ноутбук MSI; Core i7-11800H, GeForce RTX 3060, 16 Гб, 500 Гб, Нет";80 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_msi_core_i7_11800h_geforce_rtx_3060_16_gb_500_gb_net/
15;"Ноутбук MSI; Intel Core i7-12650H, GeForce RTX 3060, 16 Гб, 512 GB, Нет";76 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_msi_intel_core_i7_12650h_geforce_rtx_3060_16_gb_512_gb_net/
16;"Ноутбук Apple air m1 2020/8gb/256ssd;";75 000;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_apple_air_m1_2020_8gb_256ssd_1/
17;"Ноутбук Gigabite GMNG; Core I5-12450H, GeForce RTX 3050 Ti, 16 Гб, 1 Tb, Нет";74 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_gigabite_gmng_core_i5_12450h_geforce_rtx_3050_ti_16_gb_1_tb_net/
18;"Ноутбук Huawei Matebook D16; Core I7-13620H, Iris(R) Xe Graphics, 16 Гб, 1 Tb, Нет";74 990;https://zstandart.ru/catalog/tekhnika/noutbuki_i_kompyutery/noutbuki/noutbuk_huawei_matebook_d16_core_i7_13620h_iris_r_xe_graphics_16_gb_1_tb_net/
